dataset,subject,roi,time_idx,time_s,model,layer,RSA,CKA
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer1-0,0.04954596115269469,0.0022741421551126183
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer2-0,0.04508334500780442,0.003359576652449597
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-0,0.04008228838209348,0.006118213594579813
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-10,0.03673653954262324,0.002964411400939282
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-15,0.028753115051303454,0.0010945723446406444
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-20,0.007719385126640216,-0.0007611578226856273
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-25,0.010650910478245765,0.002272223778618325
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-30,0.010509040654032758,0.0019246419053290998
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer3-5,0.033278199247320686,0.004392676384544193
EEG2,sub-01,whole_brain,0,0.0,ResNet152_adv,features/layer4-1,-0.015243157639582831,-0.0018713556862113838
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/language_model-layers-11,0.05177473365949938,0.0020975943952942977
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/language_model-layers-16,0.04239008180362464,0.006129762440145523
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/language_model-layers-3,0.026101539085978186,0.005192927735688867
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/language_model-layers-8,0.05072245037279231,0.0052279096680497746
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-10,0.0186956610120682,-0.00035728719862491385
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-14,0.027387922817671554,0.002485509726923862
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-18,0.034469237635608385,0.0027138344645692464
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-2,0.027555850251022973,0.0031461010884870646
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-22,0.05389251478427731,0.004509170306919339
EEG2,sub-01,whole_brain,0,0.0,Qwen3-VL-2B,features/visual-blocks-6,0.020930428372832512,0.0020894783202410143
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer1-0,0.05048941723144895,-0.0016601453039851797
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer2-0,0.05414509461038271,-0.0029379078205539672
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-0,0.04175578680084346,-0.004041200973112212
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-10,0.042968792462994114,0.0008295617597285484
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-15,0.038424872208401274,-0.0009514442796782911
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-20,0.023296594431921003,-0.0030914522504679426
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-25,0.019716489644550892,-0.0024257501902760848
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-30,0.005584552827409769,-0.00299114230718656
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer3-5,0.028958431526876667,-0.0021459851180538167
EEG2,sub-01,whole_brain,2,0.02,ResNet152_adv,features/layer4-1,0.0010469976199569667,-0.002848595448632974
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/language_model-layers-11,0.0035324445563459893,0.004378944719187951
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/language_model-layers-16,0.00017374804776357558,0.009515377203911267
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/language_model-layers-3,-0.03092427342736168,0.008538273180483311
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/language_model-layers-8,-0.01079676750039631,0.008669264869540812
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-10,0.04878094463869317,0.0016978079528374712
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-14,0.04312556056946922,0.0024571875586053026
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-18,0.033539159413063555,0.0025603255722566136
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-2,0.039859538290072216,0.011423377245998047
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-22,0.0250987845882611,0.0044325151087678035
EEG2,sub-01,whole_brain,2,0.02,Qwen3-VL-2B,features/visual-blocks-6,0.034145108104027065,0.0112937808195003
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer1-0,0.07066795637873369,0.0015308454053018395
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer2-0,0.08615654742672674,-0.00045131777422295725
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-0,0.062339138916794115,-0.0010994285865086446
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-10,0.07727725777923955,-5.521139832338319e-05
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-15,0.07399164029947897,-0.0023575130393451134
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-20,0.05954275897719207,-0.004177685519185096
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-25,0.05616987390955693,-0.004705112492073759
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-30,0.04946319038899422,-0.005251245598223432
EEG2,sub-01,whole_brain,4,0.04,ResNet152_adv,features/layer3-5,0.06883851532071183,0.0004931660213108808
