dataset,subject,roi,model,layer,RSA,CKA
NSD,subj01,early,ResNet152_adv,features/layer1-0,0.24401088507996516,0.2551284538373074
NSD,subj01,early,ResNet152_adv,features/layer2-0,0.2896760513950914,0.2912908336830091
NSD,subj01,early,ResNet152_adv,features/layer3-0,0.35282358037686634,0.3306196241257075
NSD,subj01,early,ResNet152_adv,features/layer3-10,0.32799027493564314,0.2742172267547609
NSD,subj01,early,ResNet152_adv,features/layer3-15,0.3189708944561807,0.26291206536643813
NSD,subj01,early,ResNet152_adv,features/layer3-20,0.3250184411441823,0.26571184350583604
NSD,subj01,early,ResNet152_adv,features/layer3-25,0.30635433401204504,0.25438510120243285
NSD,subj01,early,ResNet152_adv,features/layer3-30,0.29672717985238456,0.2500522369961451
NSD,subj01,early,ResNet152_adv,features/layer3-5,0.34128162932011635,0.296093061915298
NSD,subj01,early,ResNet152_adv,features/layer4-1,0.22700163603978504,0.18781020990068684
NSD,subj01,early,Qwen3-VL-2B,features/language_model-layers-11,0.2376445108735802,0.19274921677799406
NSD,subj01,early,Qwen3-VL-2B,features/language_model-layers-16,0.23290236712137982,0.1974682780979346
NSD,subj01,early,Qwen3-VL-2B,features/language_model-layers-3,0.26161515667767127,0.20932673704276733
NSD,subj01,early,Qwen3-VL-2B,features/language_model-layers-8,0.24922126705472042,0.19959819263198678
NSD,subj01,early,Qwen3-VL-2B,features/visual-blocks-10,0.17652223124588545,0.1136061876146753
NSD,subj01,early,Qwen3-VL-2B,features/visual-blocks-14,0.13959603414566774,0.09025476352337444
NSD,subj01,early,Qwen3-VL-2B,features/visual-blocks-18,0.16403654358995987,0.10506991829893032
NSD,subj01,early,Qwen3-VL-2B,features/visual-blocks-2,0.19720381140007456,0.18664981315698193
NSD,subj01,early,Qwen3-VL-2B,features/visual-blocks-22,0.18482675999685433,0.13531258684407593
NSD,subj01,early,Qwen3-VL-2B,features/visual-blocks-6,0.23926656222733067,0.21967030597277465
NSD,subj01,midventral,ResNet152_adv,features/layer1-0,0.11543645426631874,0.12359292219567583
NSD,subj01,midventral,ResNet152_adv,features/layer2-0,0.15000926817088148,0.15165103356736725
NSD,subj01,midventral,ResNet152_adv,features/layer3-0,0.1987716467528255,0.17836297380236052
NSD,subj01,midventral,ResNet152_adv,features/layer3-10,0.20452341500689597,0.15808193818995198
NSD,subj01,midventral,ResNet152_adv,features/layer3-15,0.214763836054857,0.1624699775654478
NSD,subj01,midventral,ResNet152_adv,features/layer3-20,0.22719577239421726,0.16875177679298722
NSD,subj01,midventral,ResNet152_adv,features/layer3-25,0.218811256617631,0.16437514425516053
NSD,subj01,midventral,ResNet152_adv,features/layer3-30,0.20802353808453888,0.16099218074751603
NSD,subj01,midventral,ResNet152_adv,features/layer3-5,0.19982378911894338,0.16403921154196593
NSD,subj01,midventral,ResNet152_adv,features/layer4-1,0.1894091049054249,0.13334838343549882
NSD,subj01,midventral,Qwen3-VL-2B,features/language_model-layers-11,0.19674413524895493,0.1444375910614276
NSD,subj01,midventral,Qwen3-VL-2B,features/language_model-layers-16,0.19652700276723464,0.15075639274489225
NSD,subj01,midventral,Qwen3-VL-2B,features/language_model-layers-3,0.2092994298600686,0.14748257455460115
NSD,subj01,midventral,Qwen3-VL-2B,features/language_model-layers-8,0.19869334526373836,0.1424820617184781
NSD,subj01,midventral,Qwen3-VL-2B,features/visual-blocks-10,0.0768347446515725,0.04814973743047981
NSD,subj01,midventral,Qwen3-VL-2B,features/visual-blocks-14,0.06738505850083626,0.040639382750867314
NSD,subj01,midventral,Qwen3-VL-2B,features/visual-blocks-18,0.09161147756725536,0.05183232805561108
NSD,subj01,midventral,Qwen3-VL-2B,features/visual-blocks-2,0.07180648103286391,0.06817918879747681
NSD,subj01,midventral,Qwen3-VL-2B,features/visual-blocks-22,0.12215479754081997,0.07806167322444661
NSD,subj01,midventral,Qwen3-VL-2B,features/visual-blocks-6,0.10422989249656892,0.0913130937219038
NSD,subj01,ventral,ResNet152_adv,features/layer1-0,0.08214919899511919,0.07423528898607094
NSD,subj01,ventral,ResNet152_adv,features/layer2-0,0.11142861149520408,0.0995962295432991
NSD,subj01,ventral,ResNet152_adv,features/layer3-0,0.1763609737034538,0.14852435909287207
NSD,subj01,ventral,ResNet152_adv,features/layer3-10,0.23895133806628385,0.19977227049803137
NSD,subj01,ventral,ResNet152_adv,features/layer3-15,0.3042056335226897,0.25568312548257066
NSD,subj01,ventral,ResNet152_adv,features/layer3-20,0.31085403160448555,0.2585020208225622
NSD,subj01,ventral,ResNet152_adv,features/layer3-25,0.3213831034531023,0.26529330866337253
NSD,subj01,ventral,ResNet152_adv,features/layer3-30,0.2966257471754813,0.24947814030182824
NSD,subj01,ventral,ResNet152_adv,features/layer3-5,0.19320482451458915,0.16124953390149663
NSD,subj01,ventral,ResNet152_adv,features/layer4-1,0.304299068549135,0.25149924325978623
NSD,subj01,ventral,Qwen3-VL-2B,features/language_model-layers-11,0.30859639481835505,0.24751796778832783
NSD,subj01,ventral,Qwen3-VL-2B,features/language_model-layers-16,0.2995784920938545,0.24852573865109778
NSD,subj01,ventral,Qwen3-VL-2B,features/language_model-layers-3,0.31422740475741984,0.2598807742981331
NSD,subj01,ventral,Qwen3-VL-2B,features/language_model-layers-8,0.30531549735458186,0.2517402382433245
NSD,subj01,ventral,Qwen3-VL-2B,features/visual-blocks-10,0.07235167542674809,0.03266407399040285
NSD,subj01,ventral,Qwen3-VL-2B,features/visual-blocks-14,0.07501730541905575,0.032534136820628494
NSD,subj01,ventral,Qwen3-VL-2B,features/visual-blocks-18,0.12921357849912302,0.05910733826791856
NSD,subj01,ventral,Qwen3-VL-2B,features/visual-blocks-2,0.06951328658811154,0.048693652989183656
NSD,subj01,ventral,Qwen3-VL-2B,features/visual-blocks-22,0.20331963635632008,0.12220606244752337
NSD,subj01,ventral,Qwen3-VL-2B,features/visual-blocks-6,0.10407785617590662,0.07346427544705202
NSD,subj01,whole_brain,ResNet152_adv,features/layer1-0,0.11399028901803457,0.1037663025579263
NSD,subj01,whole_brain,ResNet152_adv,features/layer2-0,0.13966694510280234,0.1255256159595658
NSD,subj01,whole_brain,ResNet152_adv,features/layer3-0,0.18564805934075726,0.16529546478595825
NSD,subj01,whole_brain,ResNet152_adv,features/layer3-10,0.21135088865888815,0.18742120061133574
NSD,subj01,whole_brain,ResNet152_adv,features/layer3-15,0.25431251878285616,0.22872091630302907
NSD,subj01,whole_brain,ResNet152_adv,features/layer3-20,0.25882356490868097,0.2315152210106981
NSD,subj01,whole_brain,ResNet152_adv,features/layer3-25,0.2625015386978197,0.23545961338295576
NSD,subj01,whole_brain,ResNet152_adv,features/layer3-30,0.24727930919485636,0.22651637333588906
NSD,subj01,whole_brain,ResNet152_adv,features/layer3-5,0.1892897203810882,0.167617016390724
NSD,subj01,whole_brain,ResNet152_adv,features/layer4-1,0.24721680485226513,0.22464534662103566
NSD,subj01,whole_brain,Qwen3-VL-2B,features/language_model-layers-11,0.24624523570597612,0.21346424779201947
NSD,subj01,whole_brain,Qwen3-VL-2B,features/language_model-layers-16,0.24088234878525802,0.21478651258082207
NSD,subj01,whole_brain,Qwen3-VL-2B,features/language_model-layers-3,0.25566673884367985,0.2259632779618676
NSD,subj01,whole_brain,Qwen3-VL-2B,features/language_model-layers-8,0.24568187561516697,0.21782860020664077
NSD,subj01,whole_brain,Qwen3-VL-2B,features/visual-blocks-10,0.08562443263772294,0.04702399924810338
NSD,subj01,whole_brain,Qwen3-VL-2B,features/visual-blocks-14,0.07790045808447564,0.041994645533657886
NSD,subj01,whole_brain,Qwen3-VL-2B,features/visual-blocks-18,0.12063531373413286,0.06556448917421173
NSD,subj01,whole_brain,Qwen3-VL-2B,features/visual-blocks-2,0.0909007992888466,0.07380531811858256
NSD,subj01,whole_brain,Qwen3-VL-2B,features/visual-blocks-22,0.17585747333704665,0.12170869350046337
NSD,subj01,whole_brain,Qwen3-VL-2B,features/visual-blocks-6,0.1205722152439082,0.09704474360685225
