dataset,subject,roi,model,layer,RSA,CKA
TVSD,monkeyF,V1,ResNet152_adv,features/layer1-0,0.10795887222719112,0.33114816493542953
TVSD,monkeyF,V1,ResNet152_adv,features/layer2-0,0.18920888894317317,0.34721783998882255
TVSD,monkeyF,V1,ResNet152_adv,features/layer3-0,0.19767530868314012,0.31585827725023063
TVSD,monkeyF,V1,ResNet152_adv,features/layer3-10,0.09492353145470811,0.16193340011560847
TVSD,monkeyF,V1,ResNet152_adv,features/layer3-15,0.07035239733933038,0.13836068615646155
TVSD,monkeyF,V1,ResNet152_adv,features/layer3-20,0.07190040092719446,0.1289925109199698
TVSD,monkeyF,V1,ResNet152_adv,features/layer3-25,0.06727589897147744,0.12435245378992518
TVSD,monkeyF,V1,ResNet152_adv,features/layer3-30,0.07360600427167065,0.14134241945104328
TVSD,monkeyF,V1,ResNet152_adv,features/layer3-5,0.13313830585446024,0.222609508684828
TVSD,monkeyF,V1,ResNet152_adv,features/layer4-1,0.08549922925796014,0.10534606956648501
TVSD,monkeyF,V1,Qwen3-VL-2B,features/language_model-layers-11,0.020044847052069457,0.03746853358518749
TVSD,monkeyF,V1,Qwen3-VL-2B,features/language_model-layers-16,0.022618828068157945,0.04271118455009917
TVSD,monkeyF,V1,Qwen3-VL-2B,features/language_model-layers-3,0.033892310900181806,0.042495178850923736
TVSD,monkeyF,V1,Qwen3-VL-2B,features/language_model-layers-8,0.03363164583681233,0.04740992056039693
TVSD,monkeyF,V1,Qwen3-VL-2B,features/visual-blocks-10,0.09250792429067099,0.049713519592058886
TVSD,monkeyF,V1,Qwen3-VL-2B,features/visual-blocks-14,0.06378104307819475,0.03211241603135417
TVSD,monkeyF,V1,Qwen3-VL-2B,features/visual-blocks-18,0.05674943208977594,0.03475622824411119
TVSD,monkeyF,V1,Qwen3-VL-2B,features/visual-blocks-2,0.12379310871206409,0.17875691641610864
TVSD,monkeyF,V1,Qwen3-VL-2B,features/visual-blocks-22,0.047288342748594364,0.039355405956627815
TVSD,monkeyF,V1,Qwen3-VL-2B,features/visual-blocks-6,0.12955073580639484,0.17310662422189063
TVSD,monkeyF,V4,ResNet152_adv,features/layer1-0,0.06973402083426575,0.15033617326356635
TVSD,monkeyF,V4,ResNet152_adv,features/layer2-0,0.13418295408079875,0.17827817925160241
TVSD,monkeyF,V4,ResNet152_adv,features/layer3-0,0.21348799763178636,0.25805582526063436
TVSD,monkeyF,V4,ResNet152_adv,features/layer3-10,0.1704752899619823,0.21576193840344063
TVSD,monkeyF,V4,ResNet152_adv,features/layer3-15,0.12897925608866806,0.18588200232731325
TVSD,monkeyF,V4,ResNet152_adv,features/layer3-20,0.13251899279681015,0.1937135103562833
TVSD,monkeyF,V4,ResNet152_adv,features/layer3-25,0.12195833937121467,0.19106140158831159
TVSD,monkeyF,V4,ResNet152_adv,features/layer3-30,0.12302520613522032,0.1909472892534693
TVSD,monkeyF,V4,ResNet152_adv,features/layer3-5,0.17324916796643822,0.22897072836170698
TVSD,monkeyF,V4,ResNet152_adv,features/layer4-1,0.1495837993232173,0.1558259554755995
TVSD,monkeyF,V4,Qwen3-VL-2B,features/language_model-layers-11,0.05282526706085503,0.0970576577390322
TVSD,monkeyF,V4,Qwen3-VL-2B,features/language_model-layers-16,0.060642499832982394,0.08516486094774302
TVSD,monkeyF,V4,Qwen3-VL-2B,features/language_model-layers-3,0.05183978133426431,0.09814963458769213
TVSD,monkeyF,V4,Qwen3-VL-2B,features/language_model-layers-8,0.05385469398262378,0.0925137698857819
TVSD,monkeyF,V4,Qwen3-VL-2B,features/visual-blocks-10,0.03559646815839255,0.009880615856680618
TVSD,monkeyF,V4,Qwen3-VL-2B,features/visual-blocks-14,0.036148123157362495,0.005026476483400911
TVSD,monkeyF,V4,Qwen3-VL-2B,features/visual-blocks-18,0.041385770141859866,0.010452895857433033
TVSD,monkeyF,V4,Qwen3-VL-2B,features/visual-blocks-2,0.044791638599801585,0.07353748234189682
TVSD,monkeyF,V4,Qwen3-VL-2B,features/visual-blocks-22,0.06372658659194003,0.028981125360365286
TVSD,monkeyF,V4,Qwen3-VL-2B,features/visual-blocks-6,0.06751867119077662,0.08947326245868546
TVSD,monkeyF,IT,ResNet152_adv,features/layer1-0,0.07051888811237356,0.14118677107456026
TVSD,monkeyF,IT,ResNet152_adv,features/layer2-0,0.1622908227120883,0.1689720674823809
TVSD,monkeyF,IT,ResNet152_adv,features/layer3-0,0.2638129563598365,0.23163270837010283
TVSD,monkeyF,IT,ResNet152_adv,features/layer3-10,0.25484894423267274,0.2645765800108082
TVSD,monkeyF,IT,ResNet152_adv,features/layer3-15,0.23198461269628293,0.2739660199067451
TVSD,monkeyF,IT,ResNet152_adv,features/layer3-20,0.23936651245741142,0.29276753670807665
TVSD,monkeyF,IT,ResNet152_adv,features/layer3-25,0.24584284571186474,0.30051142286697735
TVSD,monkeyF,IT,ResNet152_adv,features/layer3-30,0.23615013710160002,0.2782550694623921
TVSD,monkeyF,IT,ResNet152_adv,features/layer3-5,0.23977535228945296,0.2469753217969382
TVSD,monkeyF,IT,ResNet152_adv,features/layer4-1,0.29047199021197667,0.26997353078968606
TVSD,monkeyF,IT,Qwen3-VL-2B,features/language_model-layers-11,0.09093169273481165,0.1670714846533412
TVSD,monkeyF,IT,Qwen3-VL-2B,features/language_model-layers-16,0.09189265030155543,0.1487091170598908
TVSD,monkeyF,IT,Qwen3-VL-2B,features/language_model-layers-3,0.08416840297379337,0.16471420916653126
TVSD,monkeyF,IT,Qwen3-VL-2B,features/language_model-layers-8,0.09641470798797319,0.16409333039935947
TVSD,monkeyF,IT,Qwen3-VL-2B,features/visual-blocks-10,0.08167840507973813,0.013241624778524688
TVSD,monkeyF,IT,Qwen3-VL-2B,features/visual-blocks-14,0.09713059004530702,0.011894215721341849
TVSD,monkeyF,IT,Qwen3-VL-2B,features/visual-blocks-18,0.10859524348306206,0.02829164561687666
TVSD,monkeyF,IT,Qwen3-VL-2B,features/visual-blocks-2,0.07604547413467473,0.07866373463433342
TVSD,monkeyF,IT,Qwen3-VL-2B,features/visual-blocks-22,0.11341867896326768,0.06753213248565743
TVSD,monkeyF,IT,Qwen3-VL-2B,features/visual-blocks-6,0.10804838453169179,0.09710396814835848
